topic_id,documents,median_relative_contribution,median_relative_margin,margin_below_005_fraction
303,162,0.2761645,0.06418419,0.42592594
304,180,0.23931727,0.039116446,0.6
305,127,0.29579902,0.062124647,0.41732284
306,243,0.21610951,0.037242167,0.61728394
307,236,0.2614625,0.053362884,0.4618644
308,236,0.21031037,0.038121212,0.61864406
309,239,0.293309,0.07592121,0.36401674
310,262,0.33030865,0.08042282,0.2977099
311,111,0.255018,0.04177094,0.5945946
312,214,0.32154328,0.08953206,0.30373833
313,255,0.22082403,0.05029391,0.49803922
314,419,0.28875935,0.09994583,0.22911695
315,272,0.2622495,0.082931355,0.31985295
316,252,0.27805394,0.10446119,0.20238096
317,218,0.24102435,0.044284575,0.55504584
318,234,0.2261067,0.042496115,0.55982906
319,320,0.26120648,0.064137556,0.41875
320,259,0.30043453,0.10904674,0.23552124
